id,data,esg_type,promise_status,promise_string,verification_timeline,evidence_status,evidence_string,evidence_quality
10208,2050年淨零目標已成全球共識，本公司亦承諾「2030年自身營運碳中和及2040年淨零排放」目標，規劃各項去碳化措施及再生能源採購專案，並透過低碳營運作為，促使水資源、廢棄物循環再利用，為下一代創造永續未來。,E,Yes,本公司亦承諾「2030年自身營運碳中和及2040年淨零排放」目標，,between_2_and_5_years,Yes,規劃各項去碳化措施及再生能源採購專案，並透過低碳營運作為，促使水資源、廢棄物循環再利用，為下一代創造永續未來。,Clear
10209,"遠傳電信視連續兩年有交易之供應商為有效供應商，2024 年度有效供應商為 1,070 家，其中客戶裝置與資通訊類採購支出加總約佔遠傳整體採購金額 85.0 %，其中資通訊類數量最多占整體供應商家數的 54.2%，遠傳也針對資通訊類業務採取優等廠商 (Prefer Vendor) 機制，並建立 prefer vendor 的使用比例 KPI，提高優等廠商合作次數以降低營運風險，2024 年 Prefer vendor 採購金額執行比例為 76%。",S,Yes,遠傳也針對資通訊類業務採取優等廠商 (Prefer Vendor) 機制，並建立 prefer vendor 的使用比例 KPI，提高優等廠商合作次數以降低營運風險，,already,Yes,2024 年 Prefer vendor 採購金額執行比例為 76%。,Clear
10210,永豐金控透過編撰並每年發行永續報告書 (Sustainability Report)，讓利害關係人與社會大眾瞭解永豐金控在環境 (E)、社會 (S)、治理 (G) 的具體作為，以及回應聯合國永續發展目標 (SDGs) 之承諾與行動，並藉此檢視永續策略的進展，期能攜手各方利害關係人推動企業、環境與社會之永續發展。本報告書於2025年7月發行，報導期間為2024年度 (2024年1月1日至12月31日)。中英文版皆可於永豐金控官網下載。,G,Yes,永豐金控透過編撰並每年發行永續報告書 (Sustainability Report)，讓利害關係人與社會大眾瞭解永豐金控在環境 (E)、社會 (S)、治理 (G) 的具體作為，以及回應聯合國永續發展目標 (SDGs) 之承諾與行動，,already,No,,N/A
10211,依國巨《薪資管理辦法》執行。國巨深信員工是企業的最重要資產，在提升公司營運、團隊與個人績效表現之前提下，每年會透過薪資調查，採取具市場競爭力的整體薪酬，對同仁薪資做出適當的調整，藉以吸引優秀人才加入國巨團隊，共同達成營運目標，與員工共享成果。員工薪資及報酬係依據其學經歷、專業知識技術、專業年資經驗及個人績效表現來決定，不因員工性別而有不同。營運之主要據點的新進員工亦不因其種族、宗教、政治立場、性別、婚姻狀況或隸屬工會之差異而在起薪上有所不同。,S,Yes,每年會透過薪資調查，採取具市場競爭力的整體薪酬，對同仁薪資做出適當的調整，藉以吸引優秀人才加入國巨團隊，共同達成營運目標，與員工共享成果。,already,Yes,員工薪資及報酬係依據其學經歷、專業知識技術、專業年資經驗及個人績效表現來決定，不因員工性別而有不同。營運之主要據點的新進員工亦不因其種族、宗教、政治立場、性別、婚姻狀況或隸屬工會之差異而在起薪上有所不同。,Clear
10212,參考國內外文獻，系統化拆解關鍵因素，於工作坊設計相對應的活動課程，鼓勵女孩突破框架、探索多元領域。為確保計畫的長期效果，更啟動活動後的長期追蹤機制，追蹤參與學員後續再學習以及職涯選擇的傾向，以評估活動設計的有效性，據以優化未來規劃。,S,Yes,為確保計畫的長期效果，更啟動活動後的長期追蹤機制，追蹤參與學員後續再學習以及職涯選擇的傾向，以評估活動設計的有效性，據以優化未來規劃。,between_2_and_5_years,No,,N/A
10213,"為回應快速變動的全球市場與技術革新挑戰，緯創從長期策略角度出發，積極推動全球領導力發展計畫 (Global Leaders Development Program, GLD)，系統性培育具潛力的中高階管理人才，以強化組織的韌性與未來競爭力。該計畫由高階主管提名具發展潛力的管理者，並透過個人發展計畫 (Individual Development Plan, IDP)，導入 70% 專案歷練、20% 高階主管 Coach 輔導、10% 學習資源的「70-20-10」學習模式，打造個人化且與職能接軌的成長路徑。參與者會透過 360 度前測了解自身管理優勢與待強化職能，並在教練引導下制定對應目標，聚焦於三大核心能力的提升：推動策略執行、數據驅動決策與團隊激勵。實務發展期間，每位參與者需承擔具挑戰性的專案任務，如 KPI 達成、跨部門合作或策略落地等，強化其領導行為的應用與展現。同時專案提供支持機制，包含高階主管每月提供跨層級的面對面輔導，以深化反思與行動調整；HR 亦定期舉辦社群交流，導入外部觀點與管理資源，鼓勵學員跨部門學習與合作，補足理論與實務並重的學習需求。參與者期末於成果簡報會上呈現個人發展歷程與行為改變成效，並以質化與量化指標對照初始目標進行自我檢視與反饋。2024 年共培訓 71 位高潛力管理者，IDP 通過率高達 97%，留任率達 97%，晉升率為 31%；另 360 度職能評鑑後測提升比例亦達 63%，反映出計畫對個人領導效能的實質成長與企業人才發展策略的深遠影響。",G,Yes,"緯創從長期策略角度出發，積極推動全球領導力發展計畫 (Global Leaders Development Program, GLD)，系統性培育具潛力的中高階管理人才，以強化組織的韌性與未來競爭力。",between_2_and_5_years,Yes,參與者期末於成果簡報會上呈現個人發展歷程與行為改變成效，並以質化與量化指標對照初始目標進行自我檢視與反饋。2024 年共培訓 71 位高潛力管理者，IDP 通過率高達 97%，留任率達 97%，晉升率為 31%；另 360 度職能評鑑後測提升比例亦達 63%，反映出計畫對個人領導效能的實質成長與企業人才發展策略的深遠影響。,Clear
10214,評估面向：「雙重重大性」（衝擊重大性 X 財務重大性）。衝擊重大性：對「經濟發展、自然環境及社會人群（包括利害關係人及其人權）」所產生的衝擊影響，依「正面與負面」的實際和潛在衝擊程度分別進行評估。財務重大性：對公司營運及財務影響程度進行綜合評估。,E;S;G,No,,N/A,No,,N/A
10215,董事會層級之永續發展委員會：督導並審查永續發展小組定期報告與全球氣候協議和巴黎協定一致的重要議題並再提報至董事會核決。2022年，董事會已批准台灣大哥大承諾在2050年實現淨零排放。  永續發展小組：每年參與與公共政策相關的決策過程，例如RE100和實現淨零排放。以確保公司的立場、倡導、聲明、政策和活動與巴黎協議一致，確保相關公/協會和國際倡議組織符合本公司永續願景、SDGs和國際永續趨勢。,G,Yes,董事會已批准台灣大哥大承諾在2050年實現淨零排放。,longer_than_5_years,Yes,董事會層級之永續發展委員會：督導並審查永續發展小組定期報告與全球氣候協議和巴黎協定一致的重要議題並再提報至董事會核決。永續發展小組：每年參與與公共政策相關的決策過程，例如RE100和實現淨零排放。,Clear
10216,2024 年船舶主因為巴拿馬運河限航及紅海危機，造成船舶需繞道，增加航程與時間使用較多的燃油，但本公司仍積極採取管控措施，熱值相較 2023 年僅增加約 7.93%，且 2024 年年度營業收入較 2023 年增加 58.37%，使能源使用強度較 2023 年減少 31.85%。,S,Yes,本公司仍積極採取管控措施，熱值相較 2023 年僅增加約 7.93%，且 2024 年年度營業收入較 2023 年增加 58.37%，使能源使用強度較 2023 年減少 31.85%。,already,Yes,2024 年船舶主因為巴拿馬運河限航及紅海危機，造成船舶需繞道，增加航程與時間使用較多的燃油，,Clear
10217,在緯創的戰略合作夥伴關係中，供應商扮演著至關重要的角色。我們深知，與供應商的合作不僅是實現業務成功的基石，也是落實公司永續發展目標的關鍵要素。因此，我們將永續責任採購列為六大永續發展策略之一，將永續發展的理念融入採購管理中，並從風險管理、競爭優勢和成本優化三大驅動力出發，遵循永續採購指南 (ISO 20400)，同時依循 RBA 行為準則，以確保供應商在環境、社會和治理方面，持續提升績效。,G,Yes,我們將永續責任採購列為六大永續發展策略之一，將永續發展的理念融入採購管理中，,between_2_and_5_years,Yes,並從風險管理、競爭優勢和成本優化三大驅動力出發，遵循永續採購指南 (ISO 20400)，同時依循 RBA 行為準則，以確保供應商在環境、社會和治理方面，持續提升績效。,Clear
10218,2024年台灣大進行年度採購分析，檢視採購金額並設定關鍵重大門檻及檢視去年鑑別之高風險供應商，共選出40家包含重大供應商及高風險廠商進行實地審查，識別出0家高風險廠商。台灣大預計2025年將持續進行之重大供應商實地審查，盼持續透過實地審查深化與供應商之連結並推進永續實務。,G,Yes,台灣大預計2025年將持續進行之重大供應商實地審查，盼持續透過實地審查深化與供應商之連結並推進永續實務。,within_2_years,Yes,2024年台灣大進行年度採購分析，檢視採購金額並設定關鍵重大門檻及檢視去年鑑別之高風險供應商，共選出40家包含重大供應商及高風險廠商進行實地審查，識別出0家高風險廠商。,Clear
10219,因應金管會法規，廣達於2024年底啟動IFRS永續資訊揭露準則導入計畫，進一步明確強化永續風險的治理，並隨導入計畫執行項目揭露。其中，永續風險以IFRS S1和S2永續揭露準則為標準，將環境、社會與治理（E、S、G）相關的風險和機會與財務評估結合，該風險內容經由特定之報告機制向董事會報告，以確保在營運策略或金融治理上能有效反應。,G,Yes,廣達於2024年底啟動IFRS永續資訊揭露準則導入計畫，進一步明確強化永續風險的治理，,already,Yes,並隨導入計畫執行項目揭露。其中，永續風險以IFRS S1和S2永續揭露準則為標準，將環境、社會與治理（E、S、G）相關的風險和機會與財務評估結合，該風險內容經由特定之報告機制向董事會報告，以確保在營運策略或金融治理上能有效反應。,Clear
10220,為了辨識永續風險並進行管理，統一超商依循 GRI 通用準則 2021 年版之重大主題鑑別四階段流程，並參考雙重重大性原則執行重大主題評估，雙重重大性原則係同時考量影響力重大性 (impact materiality) 及財務重大性 (financial materiality)，影響力重大性考量組織自身營運及價值鏈中，對於外部經濟、環境、人（含人權）之正負面衝擊；財務重大性考量永續議題對公司營運、財務及聲譽等面向影響。我們分析全球趨勢並蒐集利害關係人關注之永續議題，經內外部衝擊分析，評估永續議題在經濟、環境、人權方面衝擊及對公司營運發展衝擊的顯著程度，初步篩選出重大主題，經由公司內部例行會議進行確認與補充，並送呈具備董事身分之永續發展委員會主席財務長簽核，最後於董事會報告確認該年度重大主題。我們將每年進行重大主題檢視、兩年一次持續執行重大性主題鑑別流程，定期檢核議題的衝擊性，作為永續發展策略規劃的依據；同時透明揭露永續議題正負面衝擊資訊，以利各利害關係人了解其關注的永續議題。,G,Yes,我們將每年進行重大主題檢視、兩年一次持續執行重大性主題鑑別流程，定期檢核議題的衝擊性，作為永續發展策略規劃的依據；同時透明揭露永續議題正負面衝擊資訊，以利各利害關係人了解其關注的永續議題。,between_2_and_5_years,No,,N/A
10221,"CIMPOR取得歐盟Next Generation EU計畫及葡萄牙／歐盟復甦與韌性基金(RRF)資金支持,將於葡萄牙Maia商業倉儲中心建置太陽能板自發自用,預估年發電量1,300MWh,相當於減少450噸CO₂e,廠域自用電力自給率可達40%。",E,Yes,"CIMPOR取得歐盟Next Generation EU計畫及葡萄牙／歐盟復甦與韌性基金(RRF)資金支持,將於葡萄牙Maia商業倉儲中心建置太陽能板自發自用",already,Yes,"預估年發電量1,300MWh,相當於減少450噸CO₂e,廠域自用電力自給率可達40%。",Clear
10222,研華支持同仁在研華內部的長期職涯發展，由高階管理層帶領，形塑鼓勵員工內部轉職的企業文化，隨著 2023 年度全球人力資本管理系統 Workday 正式導入後，內部轉調機制「 My Career +」流程也更加簡便，並以更公開透明的機制，提供員工職能成長、擴充的管道，幫助員工拓展個人視野及增進多元歷練，以培養跨部門人才，My Career + 讓轉換流程更加順暢，除促進內部人才流動、養成全方位的優秀人才的目的外，並進一步達到惜才留才的目標。,S,Yes,研華支持同仁在研華內部的長期職涯發展，由高階管理層帶領，形塑鼓勵員工內部轉職的企業文化，,between_2_and_5_years,Yes,隨著 2023 年度全球人力資本管理系統 Workday 正式導入後，內部轉調機制「 My Career +」流程也更加簡便，並以更公開透明的機制，提供員工職能成長、擴充的管道，幫助員工拓展個人視野及增進多元歷練，以培養跨部門人才，My Career + 讓轉換流程更加順暢，除促進內部人才流動、養成全方位的優秀人才的目的外，並進一步達到惜才留才的目標。,Clear
10223,環境保護  產品中存在限制物質之風險  • 有害物質禁用技術標準  • 料件管理 e 化系統  • 料件承認與檢驗  • 內、外部稽核  有害物質排放風險  • 設計階段預先排除高污染物質  • 製造階段減少各項有害物質之使用量以減少廢棄量,E,Yes,設計階段預先排除高污染物質  • 製造階段減少各項有害物質之使用量以減少廢棄量,between_2_and_5_years,Yes,環境保護  產品中存在限制物質之風險  • 有害物質禁用技術標準  • 料件管理 e 化系統  • 料件承認與檢驗  • 內、外部稽核,Not Clear
10224,光寶重視員工的身心平衡，鼓勵同仁自發性成立各式性質的休閒社團，並從辦法制度優化、各社群影音宣傳、以及每年盛大舉辦的社團成果展，積極推動社團文化及參與風氣，打造優質、和諧、平衡兼具的工作環境。,S,Yes,打造優質、和諧、平衡兼具的工作環境。,between_2_and_5_years,Yes,光寶重視員工的身心平衡，鼓勵同仁自發性成立各式性質的休閒社團，並從辦法制度優化、各社群影音宣傳、以及每年盛大舉辦的社團成果展，積極推動社團文化及參與風氣，,Clear
10225,2022年11月10日，經董事會決議，由鴻海研究院李維斌執行長擔任資安長，並由鴻海研究院資通安全研究所(資安所)擔任資訊安全治理委員會秘書處，透過資安所負責集團前瞻研究之角色，關注資安治理、風險和合規之整合性國際趨勢與標準，並與資訊長充分協作，制定高層資安政策、督導集團資安政策之落實、建立集團資安的最佳實務，一起帶領鴻海建立全球高科技產業資安最佳典範，同時展現公司前瞻研究的實力。  委員會轄下分為資安治理工作小組、資安維運工作小組，職能分工如下：  (1) 資安治理工作小組：資安治理策略和方針擬定、資訊安全政策及相關規範制定，確保法規的遵循性查核。  (2) 資安維運工作小組：實施建置及維運資安架構、設備，負責資安防護、風險評估等工作，確保資安執行成效。,G,Yes,透過資安所負責集團前瞻研究之角色，關注資安治理、風險和合規之整合性國際趨勢與標準，並與資訊長充分協作，制定高層資安政策、督導集團資安政策之落實、建立集團資安的最佳實務，一起帶領鴻海建立全球高科技產業資安最佳典範,between_2_and_5_years,Yes,委員會轄下分為資安治理工作小組、資安維運工作小組，職能分工如下：  (1) 資安治理工作小組：資安治理策略和方針擬定、資訊安全政策及相關規範制定，確保法規的遵循性查核。  (2) 資安維運工作小組：實施建置及維運資安架構、設備，負責資安防護、風險評估等工作，確保資安執行成效。,Clear
10226,和泰集團自 2022 年啟動「原夢代表隊」公益計畫，攜手集團內各事業體，共同整合資源，長期支持新竹縣尖石鄉嘉興國小與五峰鄉桃山國小的泰雅族兒童合唱團。此計畫旨在幫助這些擁有音樂天賦的孩子，在成長與學習的過程中，接觸多元職業與環境，拓展視野並提升對未來職業的想像。,S,Yes,和泰集團自 2022 年啟動「原夢代表隊」公益計畫，攜手集團內各事業體，共同整合資源，長期支持新竹縣尖石鄉嘉興國小與五峰鄉桃山國小的泰雅族兒童合唱團。,already,Yes,此計畫旨在幫助這些擁有音樂天賦的孩子，在成長與學習的過程中，接觸多元職業與環境，拓展視野並提升對未來職業的想像。,Clear
10227,鴻海已展示了有效鑑別和公平評估對利害關係者的過程，其中已刻一系對來自廣泛來源的環境、社會和治理主題，對於其營運活動所帶來的衝擊的過程。其鑑別評估已透過定性化和定量相結合的目標愈來達成，本查證可持續提請佐證管道，透過多元管道與利害關係人揭露重大主題進展與成果，並透過決策流程提升與各方的互信與合作，持續優化企業溝通競爭力。,G,Yes,鴻海已展示了有效鑑別和公平評估對利害關係者的過程，其中已刻一系對來自廣泛來源的環境、社會和治理主題，對於其營運活動所帶來的衝擊的過程。,between_2_and_5_years,No,,N/A
10228,"推動 ISO 45001 職業安全衛生管理系統認證。職業安全衛生課程總訓練人次數 13,018 人次，完訓率 100%。2024 年無重大職業災害 (死亡 / 殘廢) 案件。",S,Yes,推動 ISO 45001 職業安全衛生管理系統認證。,already,Yes,"職業安全衛生課程總訓練人次數 13,018 人次，完訓率 100%。2024 年無重大職業災害 (死亡 / 殘廢) 案件。",Clear
10229,數位：  在數位轉型浪潮中，富邦人壽以穩健的資料治理機制為基石，打造完善的數據管理，啟動資料治理平台導入，並持續以數位創新成就綠色轉型，落實投保無紙化，同時運用 AI 及自動化技術，導入流程作業機器人，將工作化繁為簡，重塑作業效率及優化服務品質，結合大數據分析能力，為客戶提供更貼近需求的保險規劃建議。,E,Yes,以穩健的資料治理機制為基石，打造完善的數據管理，啟動資料治理平台導入，並持續以數位創新成就綠色轉型，,between_2_and_5_years,Yes,落實投保無紙化，同時運用 AI 及自動化技術，導入流程作業機器人，將工作化繁為簡，重塑作業效率及優化服務品質，結合大數據分析能力，為客戶提供更貼近需求的保險規劃建議。,Clear
10230,為提高產品價值並累積核心技術，和碩致力於培養創新人才，開發多元化產品應用，2024年全球專利獲證總數達267項，期能為和碩之客戶創造最大價值。我們的研發團隊不斷致力於綠色材料的開發與改良，包含無有害物質的管控、可循環與可分解材料之工程特性研究、產品可靠度分析等，同時也對金屬、塑膠、塗料、油墨等原料進行分類研究，配合客戶在最佳的成本條件下，開發出最符合環保目標的產品。在環保製程開發上，以確實達成客戶對綠色產品規格的要求與節能減碳為主軸。短期目標是精實現有製程內容，長期目標是開發綠色材料時，盡量簡化現有製程的加工內容及設備，發展出新的綠色生產流程。和碩以非常具有前瞻性的研發實力，來實踐企業公民的責任，以無毒、無污染、對環境無害及節能減碳為最終目標。,E,Yes,和碩致力於培養創新人才，開發多元化產品應用，2024年全球專利獲證總數達267項，期能為和碩之客戶創造最大價值。,already,Yes,我們的研發團隊不斷致力於綠色材料的開發與改良，包含無有害物質的管控、可循環與可分解材料之工程特性研究、產品可靠度分析等，同時也對金屬、塑膠、塗料、油墨等原料進行分類研究，配合客戶在最佳的成本條件下，開發出最符合環保目標的產品。在環保製程開發上，以確實達成客戶對綠色產品規格的要求與節能減碳為主軸。短期目標是精實現有製程內容，長期目標是開發綠色材料時，盡量簡化現有製程的加工內容及設備，發展出新的綠色生產流程。,Clear
10231,聯電集團除了延長 N- 甲基吡咯烷酮 (NMP) 換酸週期和製程簡化降低 NMP 使用量之外，2020 年起展開 NMP 完全替代計畫，並於 2022 年底成功開發一項弱酸性溶劑，該溶劑可取代 NMP 的清洗功能。聯電集團各 8 吋廠已率先完成各項產品電性、良率與可靠度驗證，並於 2023 年起陸續展開替代作業。相較於 2022 年，2024 年聯電集團各 8 吋廠總共減少使用 80.5% NMP。並且目標 2027 年底完成聯電集團各 8 吋廠的 NMP 完全替代。Fab 12A 目前也正在評估其可行性，目標 2025 年底完成各項產品電性、良率與可靠度驗證，開始進行導入替代作業。後續 Fab 12i 也將參考 Fab 12A 評估數據，於 2025 年底導入評估替代 NMP 的可行性。,E,Yes,並且目標 2027 年底完成聯電集團各 8 吋廠的 NMP 完全替代。,between_2_and_5_years,Yes,聯電集團各 8 吋廠已率先完成各項產品電性、良率與可靠度驗證，並於 2023 年起陸續展開替代作業。相較於 2022 年，2024 年聯電集團各 8 吋廠總共減少使用 80.5% NMP。後續 Fab 12i 也將參考 Fab 12A 評估數據，於 2025 年底導入評估替代 NMP 的可行性。,Clear
10232,我們據以訂定 2023-2027 年中長期計畫，透過新世代商品及新形態服務導入，持續提升周邊價值鏈，加速移動轉型，期許讓和泰汽車及關係企業旗下各品牌，成為各產業中的領導標竿，透過「以新世代販賣思維，積極躍升市占率」、「智能服務及社群結合，融入顧客生活圈」、「策略轉型超前布局，價值鏈提升無上限」、「提升資源利用綜效，擴大集團規模」、「善盡企業社會責任，促進碳中和實現」等策略主軸，強化核心本業、客戶服務、集團管理、人才培育、社會責任等面向，促進集團永續發展。同時，為了因應短期環境變化與經營課題，我們也訂定了年度方針，確保中長期計畫目標逐步達成。,G,Yes,透過新世代商品及新形態服務導入，持續提升周邊價值鏈，加速移動轉型，期許讓和泰汽車及關係企業旗下各品牌，成為各產業中的領導標竿,between_2_and_5_years,Yes,透過「以新世代販賣思維，積極躍升市占率」、「智能服務及社群結合，融入顧客生活圈」、「策略轉型超前布局，價值鏈提升無上限」、「提升資源利用綜效，擴大集團規模」、「善盡企業社會責任，促進碳中和實現」等策略主軸，強化核心本業、客戶服務、集團管理、人才培育、社會責任等面向，促進集團永續發展。,Clear
10233,"中租控股從已身做起，節能減碳，2024年承諾科學基礎減量目標（Science Based Targets initiative,SBTi），明確規畫至2030年減碳路徑，並設定各範疇減量策略與目標，期於2050年達到淨零碳排，全球升溫控制於1.5°C。自2020年導入ISO 14064-1溫室氣體盤查，從台灣範圍逐步納入中國大陸、泰國、越南、馬來西亞、柬埔寨、菲律賓、印尼與美國等，2024年完整鑑別碳排類別－直接排放與類別二能源間接排放；2021年依循碳核算金融聯盟（Partnership for Carbon Accounting and Financials，PCAF）計算方法學，揭露類別五由投融資產生之溫室氣體排放，也於今年取得第三方單位審核驗證。中租控股發揮影響力，控管高碳排產業客戶對象的授信金額額度，推動永續經濟活動，讓合客戶議ESG，協助中小微企業營運轉型，並善用永續金融，自2012年攜手產業進入太陽能電廠或綠能融資業務，再從台灣逐步拓展至海外市場，包括泰國與越南等，以結合實現淨零。",E,Yes,"2024年承諾科學基礎減量目標（Science Based Targets initiative,SBTi），明確規畫至2030年減碳路徑，並設定各範疇減量策略與目標，期於2050年達到淨零碳排，全球升溫控制於1.5°C。",between_2_and_5_years,Yes,自2020年導入ISO 14064-1溫室氣體盤查，從台灣範圍逐步納入中國大陸、泰國、越南、馬來西亞、柬埔寨、菲律賓、印尼與美國等，2024年完整鑑別碳排類別－直接排放與類別二能源間接排放；2021年依循碳核算金融聯盟（Partnership for Carbon Accounting and Financials，PCAF）計算方法學，揭露類別五由投融資產生之溫室氣體排放，也於今年取得第三方單位審核驗證。,Clear
10234,聯電透過風險管理委員會審視公司面臨的內外部風險，其中隱私權及個人資料保護、出口管制及營業秘密等風險議題，經評估分析且已採取適足之管理與防範措施，認為對公司的影響為低度。,S,Yes,聯電透過風險管理委員會審視公司面臨的內外部風險，其中隱私權及個人資料保護、出口管制及營業秘密等風險議題，經評估分析且已採取適足之管理與防範措施,already,Yes,經評估分析且已採取適足之管理與防範措施，認為對公司的影響為低度。,Clear
10235,"TOYOTA 自 2017 年 4 月啟動「一車一樹」植樹計畫，每售出一台 TOYOTA 新車，即為車主在台灣種下一棵樹，投入經費更超過三億元，在財團法人慈心有機農業發展基金會的協助下，為全台 17 縣市及離島澎湖、金門、馬祖陸續建立起綠色長城。自 2019 年起舉辦車主志工植樹活動，邀請 TOYOTA 車主與民眾共同響應，讓每一位參與者體驗親手種下樹苗的感動，一起成為守護台灣海岸線的重要推手。  2024 年也於宜蘭壯圍海岸舉辦「TOYOTA 一車一樹 90 萬棵樹植樹達成紀念活動」，邀請藝人鼓鼓 ( 呂思緯 ) 擔任植樹大使，與超過百位車主及民眾於海岸線種下近 1,200 株樹苗。本次種植主要以固沙耐旱的海檬果、水黃皮等樹苗為主，不僅有效吸收二氧化碳，更能保持水土，防止海岸退縮，實現保護台灣海岸與減碳的雙重目標。",E,Yes,TOYOTA 自 2017 年 4 月啟動「一車一樹」植樹計畫，每售出一台 TOYOTA 新車，即為車主在台灣種下一棵樹，投入經費更超過三億元，,already,Yes,"在財團法人慈心有機農業發展基金會的協助下，為全台 17 縣市及離島澎湖、金門、馬祖陸續建立起綠色長城。  2024 年也於宜蘭壯圍海岸舉辦「TOYOTA 一車一樹 90 萬棵樹植樹達成紀念活動」，邀請藝人鼓鼓 ( 呂思緯 ) 擔任植樹大使，與超過百位車主及民眾於海岸線種下近 1,200 株樹苗。",Clear
10236,合作超過一甲子的日本豐田汽車、精工打造 TOYOTA、HINO 國產化的國瑞汽車、緊密團結且共識堅強的經銷商團隊，以及提供高品質及高配合度的供應商，是和泰汽車成立迄今超過 70 個年頭以來最值得信賴的夥伴。在我們攜手合作之下，共同創造了使員工、股東與顧客驚艷與感動的最佳服務。未來，和泰汽車將持續投入熱情與資源，持續與我們的經銷商及供應商共同努力，再創更多佳績。,G,Yes,未來，和泰汽車將持續投入熱情與資源，持續與我們的經銷商及供應商共同努力，再創更多佳績。,between_2_and_5_years,No,,N/A
10237,為了評估氣候變遷對公司業務、策略和財務規劃的影響，我們採取了三個階段的氣候風險與機會辨識流程。通過此流程，我們收斂了統一企業面臨的五項重大風險和一項重大機會，詳細方法請參考 2020 年統一企業社會責任報告書。我們進一步針對環境法規相關資訊量化對統一企業的財務影響，並就相應議題進一步檢視與調整關鍵氣候風險與機會的議題因應與管理現況。2024 年，我們將持續依據最新的環境變化與政策趨勢，追蹤並優化氣候風險與機會管理措施，確保相關策略能夠有效應對未來可能的挑戰與機遇。,E,Yes,2024 年，我們將持續依據最新的環境變化與政策趨勢，追蹤並優化氣候風險與機會管理措施，確保相關策略能夠有效應對未來可能的挑戰與機遇。,already,Yes,為了評估氣候變遷對公司業務、策略和財務規劃的影響，我們採取了三個階段的氣候風險與機會辨識流程。通過此流程，我們收斂了統一企業面臨的五項重大風險和一項重大機會，詳細方法請參考 2020 年統一企業社會責任報告書。我們進一步針對環境法規相關資訊量化對統一企業的財務影響，並就相應議題進一步檢視與調整關鍵氣候風險與機會的議題因應與管理現況。,Clear
10238,聯電集團製造廠區皆設置於工業園區內，營運據點均無位於全球或國家所列生物多樣性重要區域。聯電由董事長簽署「聯華電子生物多樣性暨不毀林承諾」，透過企業永續治理組織監督與推動，宣示聯電保育生態環境之態度。並將生物多樣性及不毀林要求訂入供應商行為準則，要求供應商遵守，促進價值鏈共同支持生物多樣性。,E,Yes,聯電集團製造廠區皆設置於工業園區內，營運據點均無位於全球或國家所列生物多樣性重要區域。聯電由董事長簽署「聯華電子生物多樣性暨不毀林承諾」，透過企業永續治理組織監督與推動，宣示聯電保育生態環境之態度。,already,Yes,並將生物多樣性及不毀林要求訂入供應商行為準則，要求供應商遵守，促進價值鏈共同支持生物多樣性。,Clear
10239,為提供優渥勞動條件，滿足全體員工福利需求，由勞資雙方共 27 人組成中鋼職工福利委員會，設置職工福利社、福利餐廳、集團會館、單身宿舍、健身館、上下班交通補助、自助洗衣中心及閱覽室等福利設施，且開放協力員工與地區居民使用福利社、員工餐廳、健身館、幼兒園及閱覽室等公共福利設施，並每年辦理福利社滿意度調查，113 年度福利部份滿意度調查平均分數為 85.1 分。,S,Yes,為提供優渥勞動條件，滿足全體員工福利需求，由勞資雙方共 27 人組成中鋼職工福利委員會，設置職工福利社、福利餐廳、集團會館、單身宿舍、健身館、上下班交通補助、自助洗衣中心及閱覽室等福利設施，,already,Yes,且開放協力員工與地區居民使用福利社、員工餐廳、健身館、幼兒園及閱覽室等公共福利設施，並每年辦理福利社滿意度調查，113 年度福利部份滿意度調查平均分數為 85.1 分。,Clear
10240,水資源  台灣及中國大陸水泥廠：取水強度2030年降至0.000248百萬公升/噸膠結材料；位於水壓力地區之廠區取水量年減1.2%  台灣製品廠：混凝土淡水取水強度2025年減少0.5%；2030年減少1.5%；2050減少3.5%  CIMPOR：取水強度2030年降至0.0002百萬公升/噸水泥,E,Yes,台灣製品廠：混凝土淡水取水強度2025年減少0.5%；2030年減少1.5%；2050減少3.5%,within_2_years,Yes,台灣及中國大陸水泥廠：取水強度2030年降至0.000248百萬公升/噸膠結材料；位於水壓力地區之廠區取水量年減1.2%  CIMPOR：取水強度2030年降至0.0002百萬公升/噸水泥,Clear
10241,華南產險重視病童及其家庭成員的身心健康，自 2021 年起連續 4 年與瑞信兒童醫療基金會合作「聖誕歡樂列車」活動，2024 年將聖誕禮物贈送給花蓮門諾醫院 110位病童、彰化基督教醫院 200 位病童及台大兒童醫院 180 位病童，合計 490 位病童，希望能帶給病童溫馨與喜樂及正向鼓勵的力量。,S,Yes,自 2021 年起連續 4 年與瑞信兒童醫療基金會合作「聖誕歡樂列車」活動,already,Yes,2024 年將聖誕禮物贈送給花蓮門諾醫院 110位病童、彰化基督教醫院 200 位病童及台大兒童醫院 180 位病童，合計 490 位病童，希望能帶給病童溫馨與喜樂及正向鼓勵的力量。,Clear
